application_id,app_name ,lob,app_team_DL ,ucd_comp_name ,circle_name ,LI_is_DU ,app_lead ,scm_url ,scm_type ,job_url,jenkins_team_name ,job_type ,is_template_used ,is_trunk_based ,build_tool ,technology,template_name ,template_catalog_used ,created_date_time ,is_public_cloud ,public_cloud_tool ,job_status ,deployment_tool ,is_unit_test_enabled ,is_pmd_enabled ,is_clover_enabled ,is_jacoco_enabled ,is_lint_enabled ,is_cobertura_enabled ,is_code_quality_enabled ,is_integration_test_enabled ,integration_test_tool,is_black_duck_enabled ,deployed_buildpack_name ,detected_buildpack,buildpack_version ,pcf_app_name ,pcf_app_last_updated,pcf_app_last_push ,gradle_image ,node_image ,gradle_image_status ,node_image_status ,is_app_scan_enabled ,foundation ,kaniko_image ,python_image ,soapui_image ,kaniko_image_status ,python_image_status ,soapui_image_status ,job_style,ucd_app_name ,unknown_image,bdh_critical ,bdh_high ,bdh_medium ,bdh_low ,is_myapproval_enabled ,is_hsp_prod_enabled ,bdh_url,bdh_tags,branch_coverage,class_coverage,complexity_score,instruction_coverage,line_coverage,method_coverage,clover_total_covered,clover_total_missed,clover method coverage,clover_conditions_coverage,clover_statements coverage,is_prod_enabled,environment,target_infrastructure
12,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
13,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
14,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
15,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
16,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
17,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
18,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,business_template,business_catalog3,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
19,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,business_template,business_catalog3,na,y,azure,na,ucd,y,y,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
20,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,java,claims_template,claims_catalog,na,y,gcp,scheduled,ucd,y,n,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
21,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,claims_template,claims_catalog,na,y,gcp,scheduled,ucd,y,n,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
22,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,claims_template,claims_catalog,na,y,gcp,scheduled,ucd,y,n,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
23,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,claims_template,claims_catalog,na,y,gcp,scheduled,ucd,y,n,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
24,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,claims_template,claims_catalog,na,y,gcp,scheduled,ucd,y,n,n,y,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
25,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,home_template,home_catalog,na,y,aws,na,aws_cli,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
26,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,home_template,home_catalog,na,y,aws,na,aws_cli,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
27,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,home_template,home_catalog,na,y,aws,na,aws_cli,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
28,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,home_template,home_catalog,na,y,aws,na,aws_cli,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
29,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,home_template,home_catalog,na,y,aws,na,ucd,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
30,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,home_template,home_catalog,na,y,aws,na,ucd,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
31,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,home_template,home_catalog,na,y,aws,na,ucd,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
32,home_insurance,home_insurance,hinsurance_dev_team@accenture.com,home_comp,home_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,mongodb,home_template,home_catalog,na,y,aws,na,ucd,y,n,y,y,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,y,na,na,na,na,na,na,na,na,na,na,n,y,n,n,y,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
33,pi_dev_tools_1,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
34,pi_dev_tools_2,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
35,pi_dev_tools_3,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
36,pi_dev_tools_4,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
37,pi_dev_tools_5,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
38,pi_dev_tools_6,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
39,pi_dev_tools_7,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,aws,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
40,pi_dev_tools_8,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,ocp,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
41,pi_dev_tools_9,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,ocp,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
42,pi_dev_tools_10,personal_insurance,pinsurance_dev_team@accenture.com,personal_comp,personal_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,personal_template,personal_catalog1,na,y,ocp,completed,ucd,y,y,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,y,production,na
43,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
44,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,gradle,abinitio,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
45,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
46,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,npm,nodejs,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
47,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,python,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
48,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
49,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,business_template,business_catalog1,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
50,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,business_template,business_catalog2,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
51,business_insurance,business_insurance,binsurance_dev_team@accenture.com,business_comp,business_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,business_template,business_catalog3,na,y,azure,na,ucd,y,y,n,n,na,na,y,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,n,y,n,n,n,y,na,na,na,na,na,na,na,na,na,na,na,na,na,n,model_office,na
52,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,claims_template,claims_catalog,na,y,aws,na,ucd,y,n,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
53,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,claims_template,claims_catalog,na,y,aws,na,ucd,y,n,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
54,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,maven,java,claims_template,claims_catalog,na,y,aws,na,ucd,y,n,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
55,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,python,python,claims_template,claims_catalog,na,y,aws,na,ucd,y,n,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
56,claims,claims,cinsurance_dev_team@accenture.com,claims_comp,claims_circle,Yes,test,www.github.com,GitHub,www.jenkins.com,jenkins_team,batch,yes,yes,ant,dotnet,claims_template,claims_catalog,na,y,aws,na,ucd,y,n,y,n,na,na,n,na,na,y,na,na,na,na,na,na,na,na,na,na,n,na,na,na,na,na,na,na,na,na,na,y,n,n,n,n,n,na,na,na,na,na,na,na,na,na,na,na,na,na,n,test,na
